Date,ZScore_Sum_W,ZScore_Sum_M
2019-05-05,2.35,
2019-05-12,3.93,
2019-05-19,3.73,
2019-05-26,3.6,
2019-06-02,10.68,
2019-06-09,2.73,
2019-06-16,1.5700000000000003,
2019-06-23,3.49,
2019-06-30,1.9900000000000002,9.78
2019-07-07,-0.24,
2019-07-14,2.21,
2019-07-21,5.05,
2019-07-28,3.77,
2019-08-04,4.84,
2019-08-11,3.42,
2019-08-18,0.86,
2019-08-25,0.91,
2019-09-01,4.67,
2019-09-08,1.54,
2019-09-15,0.88,
2019-09-22,5.17,
2019-09-29,9.58,
2019-10-06,2.44,
2019-10-13,4.99,
2019-10-20,7.28,
2019-10-27,35.15,
2019-11-03,11.02,
2019-11-10,6.66,
2019-11-17,2.26,
2019-11-24,3.87,
2019-12-01,5.7299999999999995,
2019-12-08,1.6500000000000001,
2019-12-15,2.38,
2019-12-22,3.86,
2019-12-29,-0.9400000000000001,
2020-01-05,0.07,
2020-01-12,2.5300000000000002,
2020-01-19,4.42,
2020-01-26,3.13,
2020-02-02,0.5700000000000001,
2020-02-09,1.13,
2020-02-16,-0.76,
2020-02-23,-0.91,
2020-03-01,3.4299999999999997,
2020-03-08,4.38,
2020-03-15,7.82,
2020-03-22,12.58,
2020-03-29,11.5,
2020-04-05,6.5,
2020-04-12,4.44,
2020-04-19,4.96,
2020-04-26,2.33,
2020-05-03,2.73,
2020-05-10,1.29,
2020-05-17,2.96,
2020-05-24,0.7799999999999999,
2020-05-31,5.96,10.989999999999998
2020-06-07,3.64,
2020-06-14,2.6,
2020-06-21,4.58,
2020-06-28,4.550000000000001,
2020-07-05,2.7,
2020-07-12,2.5799999999999996,
2020-07-19,8.239999999999998,
2020-07-26,6.12,
2020-08-02,4.07,
2020-08-09,2.68,
2020-08-16,-0.8200000000000001,
2020-08-23,0.41000000000000003,
2020-08-30,0.73,
2020-09-06,2.5300000000000002,
2020-09-13,0.45,
2020-09-20,6.51,
2020-09-27,4.74,
2020-10-04,0.77,
2020-10-11,4.71,
2020-10-18,6.26,
2020-10-25,8.18,
2020-11-01,1.32,
2020-11-08,2.9000000000000004,
2020-11-15,2.88,
2020-11-22,4.44,
2020-11-29,8.64,
2020-12-06,4.46,
2020-12-13,5.26,
2020-12-20,3.26,
2020-12-27,2.41,
2021-01-03,-0.33000000000000007,
2021-01-10,2.48,
2021-01-17,7.75,
2021-01-24,1.8199999999999998,
2021-01-31,2.95,14.4
2021-02-07,1.41,
2021-02-14,-0.32999999999999996,
2021-02-21,0.27999999999999997,
2021-02-28,3.99,5.35
2021-03-07,3.4699999999999998,
2021-03-14,1.98,
2021-03-21,4.1,
2021-03-28,1.39,
2021-04-04,1.71,
2021-04-11,-0.12,
2021-04-18,7.24,
2021-04-25,2.37,
2021-05-02,1.38,
2021-05-09,-0.29,
2021-05-16,1.26,
2021-05-23,0.25999999999999995,
2021-05-30,2.6,
2021-06-06,0.79,
2021-06-13,0.91,
2021-06-20,4.51,
2021-06-27,2.83,
2021-07-04,0.97,
2021-07-11,-1.1,
2021-07-18,0.6299999999999999,
2021-07-25,1.83,
2021-08-01,1.6300000000000001,
2021-08-08,2.03,
2021-08-15,2.3000000000000003,
2021-08-22,2.57,
2021-08-29,2.9,
2021-09-05,4.58,
2021-09-12,-0.34,
2021-09-19,1.1,
2021-09-26,0.88,
2021-10-03,2.67,
2021-10-10,-0.04000000000000001,
2021-10-17,4.03,
2021-10-24,5.54,
2021-10-31,1.49,11.53
2021-11-07,-1.3599999999999999,
2021-11-14,1.0899999999999999,
2021-11-21,1.14,
2021-11-28,3.1,
2021-12-05,3.82,
2021-12-12,-2.01,
2021-12-19,2.49,
2021-12-26,-0.21000000000000002,
2022-01-02,-0.51,
2022-01-09,0.49,
2022-01-16,2.63,
2022-01-23,1.6099999999999999,
2022-01-30,5.74,
2022-02-06,0.8599999999999999,
2022-02-13,1.2000000000000002,
2022-02-20,1.75,
2022-02-27,5.34,
2022-03-06,4.62,
2022-03-13,4.3999999999999995,
2022-03-20,5.29,
2022-03-27,1.3599999999999999,
2022-04-03,1.8199999999999998,
2022-04-10,1.93,
2022-04-17,1.48,
2022-04-24,12.23,
2022-05-01,5.609999999999999,
2022-05-08,2.13,
2022-05-15,3.17,
2022-05-22,6.67,
2022-05-29,4.819999999999999,
2022-06-05,7.04,
2022-06-12,1.21,
2022-06-19,3.0,
2022-06-26,0.9700000000000001,
2022-07-03,1.49,
2022-07-10,0.74,
2022-07-17,1.17,
2022-07-24,0.45,
2022-07-31,1.91,4.22
2022-08-07,0.78,
2022-08-14,-0.74,
2022-08-21,-0.47000000000000003,
2022-08-28,-0.7,
2022-09-04,2.64,
2022-09-11,-0.91,
2022-09-18,8.16,
2022-09-25,4.3100000000000005,
2022-10-02,3.63,
2022-10-09,1.08,
2022-10-16,3.6500000000000004,
2022-10-23,-0.94,
2022-10-30,-0.72,
2022-11-06,-1.02,
2022-11-13,0.030000000000000027,
2022-11-20,-0.65,
2022-11-27,-0.52,
2022-12-04,1.37,
2022-12-11,1.3699999999999999,
2022-12-18,3.0,
2022-12-25,2.46,
2023-01-01,0.86,
2023-01-08,3.41,
2023-01-15,4.7,
2023-01-22,2.9299999999999997,
2023-01-29,1.25,
2023-02-05,4.26,
2023-02-12,2.53,
2023-02-19,-0.2,
2023-02-26,-0.8,
2023-03-05,1.78,
2023-03-12,0.67,
2023-03-19,5.0,
2023-03-26,5.59,
2023-04-02,3.33,
2023-04-09,1.07,
2023-04-16,2.0300000000000002,
2023-04-23,14.83,
2023-04-30,4.61,22.54
2023-05-07,1.59,
2023-05-14,3.06,
