Date,Symbol,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,Volume,Trades,Deliverable Volume,DeiiveryToTrade,%Deliverble,Z-ScoreDelVolume,DeliveryStatus,Trades_Diff,MWPL,MWPL_Diff,Close,Close_Diff,Close_Future,FuturePremium,Change in OI,OI_CUMI,OI_Rank,Position,BuyingPressure,SellingPressure,fluctuates,Change,Return,Volatility,Expected Change,Magnitude,Abs Magnitude,EWMA20BUYPRE,EWMA50BUYPRE,EWMA20SELLPRE,EWMA50SELLPRE,EWMA20_DEL,EWMA50_DEL,EWMA20_VOL,EWMA50_VOL,EWMA20_OI,EWMA50_OI,DEL2TRADE20,DEL2TRADE50
2022-08-11,SRTRANSFIN,1396.4,1405.65,1425.3,1391.2,1412.22,3799200,2022-08-25,1131705.0,39402.0,560523.0,31.38,49.53,0.31,174.0,109.0,77.05,0.51,1406.05,10.5,1408.05,2.0,-57600,2737200,27.0,ShortCovering,20.85,19.25,2.44,9.649999999999864,0.00688685838508718,0.02552502707159206,35.93417788401393,0.26854656397448484,0.26854656397448484,36.7,36.93,34.14,30.49,436373.52,427267.68,1016613.55,1029273.01,3631862.85,3514718.95,26.37,28.72
2022-08-16,SRTRANSFIN,1367.95,1365.0,1387.0,1352.8,1370.21,3793800,2022-08-25,1311198.0,40532.0,674503.0,20.33,51.44,0.63,162.0,144.0,73.85,-3.2,1364.7,3.2999999999999545,1371.05,6.349999999999909,-75000,2662200,188.0,ShortCovering,11.9,60.6,2.5,-41.34999999999991,-0.029849730371900307,0.025994563962617085,35.88946431401202,-1.1521487096661953,1.1521487096661953,34.34,35.94,36.66,31.68,459052.53,436995.06,1044669.23,1040365.24,3647285.45,3525699.29,26.94,28.86
2022-08-17,SRTRANSFIN,1364.7,1364.0,1369.0,1351.0,1357.31,4209000,2022-08-25,1319975.0,27402.0,832956.0,23.49,63.1,1.08,165.0,40.0,71.03,-2.82,1355.55,302.2999999999999,1361.55,6.0,415200,3077400,12.0,LongBuildUp,4.55,31.45,1.32,-9.150000000000091,-0.006727348227993701,0.025602423735643687,35.474781439783534,-0.2579297074890146,0.2579297074890146,31.51,34.71,36.16,31.67,494662.4,452571.99,1070888.84,1051364.96,3700782.1,3552580.04,28.97,29.62
2022-08-18,SRTRANSFIN,1355.55,1350.25,1365.25,1327.05,1343.55,4195800,2022-08-25,876771.0,28195.0,292392.0,-64.9,33.35,-0.46,15.0,145.0,70.49,-0.54,1348.45,-9.0,1352.55,4.099999999999909,-13200,3064200,115.0,LongUnwinding,21.4,20.55,2.82,-7.099999999999909,-0.005251491358780669,0.025298890661004218,34.7053654948518,-0.20457931788827075,0.20457931788827075,30.54,34.18,34.68,31.23,475398.55,446271.36,1052401.42,1044497.37,3747926.69,3577880.89,29.17,29.68
2022-08-19,SRTRANSFIN,1348.45,1350.05,1364.9,1340.0,1350.84,4036800,2022-08-25,763139.0,38462.0,199574.0,-31.74,26.150000000000002,-0.72,65.0,193.0,71.19,0.7,1346.85,-4.5,1348.05,1.2000000000000455,-159000,2905200,232.0,LongUnwinding,19.8,18.4,1.85,-1.6000000000001364,-0.0011872520223663585,0.02481376155516306,34.11428911183114,-0.04690116785828734,0.04690116785828734,29.52,33.62,33.13,30.73,449129.53,436568.75,1024852.61,1033431.54,3775438.44,3595930.18,28.28,29.29
2022-08-22,SRTRANSFIN,1346.85,1364.85,1364.85,1305.0,1326.82,3180600,2022-08-25,849345.0,36423.0,235284.0,17.89,27.699999999999996,-0.62,159.0,102.0,71.82,0.63,1312.85,-32.200000000000045,1315.85,3.0,-856200,2049000,218.0,LongUnwinding,7.85,52.05,4.44,-34.0,-0.025568186051717845,0.025214573996738352,33.42041475057137,-1.0173422518467914,1.0173422518467914,27.46,32.6,34.93,31.57,428763.28,428653.13,1008137.59,1026192.24,3718787.14,3579597.11,27.81,29.06
2022-08-23,SRTRANSFIN,1312.85,1305.45,1356.6,1298.2,1329.51,2246400,2022-08-25,876633.0,33557.0,313288.0,33.15,35.74,-0.4,176.0,95.0,73.35,1.53,1336.6,-29.95000000000005,1341.1,4.5,-934200,1114800,177.0,LongUnwinding,38.4,28.25,4.45,23.75,0.01792872949376001,0.025303054067430154,33.102953471617944,0.7174586406727409,0.7174586406727409,28.5,32.83,34.29,31.43,417765.63,424116.84,995613.34,1020311.4,3578559.74,3527174.21,27.65,28.94
2022-08-24,SRTRANSFIN,1336.6,1346.0,1349.7,1327.1,1338.35,1427400,2022-08-25,405970.0,14854.0,121229.0,-61.3,29.86,-0.95,20.0,3.0,75.4,2.05,1343.05,27.65000000000009,1343.5,0.4500000000000455,-819000,295800,169.0,ShortCovering,44.85,13.55,1.69,6.4500000000000455,0.004814070835151618,0.021291927778766886,33.82006206652714,0.19071520292636684,0.19071520292636684,30.06,33.3,32.32,30.73,389524.04,412208.18,939456.81,996157.31,3373687.32,3444617.31,27.62,28.88
2022-08-25,SRTRANSFIN,1343.05,1349.0,1363.7,1320.0,1341.5,3665400,2022-09-29,658439.0,27765.0,207532.0,71.19,31.52,-0.7,193.0,222.0,83.47,8.07,1324.7,-9.949999999999818,1331.15,6.4500000000000455,724800,724800,62.0,ShortBuildUp,4.7,39.0,3.25,-18.34999999999991,-0.013757128221905113,0.02144650244487079,28.596123603272865,-0.641695365937631,0.641695365937631,27.64,32.18,32.95,31.06,372191.46,404161.74,912693.2,982880.57,3401469.49,3453296.95,27.25,28.68
2022-08-26,SRTRANSFIN,1324.7,1335.0,1347.45,1324.15,1333.49,3631800,2022-09-29,421524.0,18441.0,162830.0,-21.54,38.629999999999995,-0.83,77.0,37.0,83.19,-0.28,1333.35,9.549999999999956,1340.7,7.350000000000136,-33600,691200,114.0,ShortCovering,13.35,30.35,1.76,8.649999999999864,0.0065085536655775655,0.021303034543844256,28.410181788720333,0.304468308732687,0.304468308732687,26.28,31.44,32.7,31.03,352252.27,394675.17,865915.17,960814.08,3423405.73,3460313.77,26.83,28.45
2022-08-29,SRTRANSFIN,1333.35,1302.25,1331.8,1300.0,1319.38,3542400,2022-09-29,425616.0,20472.0,169432.0,4.05,39.81,-0.81,143.0,159.0,83.27,0.08,1324.9,-13.150000000000093,1327.55,2.6499999999998636,-89400,601800,207.0,LongUnwinding,24.9,22.55,2.38,-8.449999999999818,-0.006357587481716109,0.019220612345062237,28.404401109034737,-0.29748910978841525,0.29748910978841525,26.15,31.18,31.74,30.7,334840.81,385821.87,823981.91,939777.82,3434738.52,3463540.21,26.25,28.15
2022-08-30,SRTRANSFIN,1324.9,1332.0,1359.05,1330.45,1351.78,3481800,2022-09-29,1028445.0,22538.0,560729.0,230.95,54.52,0.31,224.0,157.0,83.13,-0.14,1354.65,28.65000000000009,1356.2,1.5499999999999545,-60600,541200,162.0,ShortCovering,54.65,4.4,2.16,29.75,0.02220613349083944,0.01915508736912501,25.465389295972958,1.1682523151022317,1.1682523151022317,28.86,32.1,29.13,29.66,356353.97,392696.07,843454.59,943262.62,3439220.57,3464257.86,28.1,28.83
2022-09-01,SRTRANSFIN,1354.65,1342.0,1358.0,1323.0,1338.67,3405600,2022-09-29,443594.0,21477.0,189068.0,-66.28,42.620000000000005,-0.75,13.0,104.0,83.08,-0.05,1329.25,-8.950000000000045,1334.55,5.2999999999999545,-76200,465000,185.0,LongUnwinding,6.25,29.8,2.58,-25.40000000000009,-0.018928244980469522,0.019361610187276963,25.948439104585194,-0.9788642737863877,0.9788642737863877,26.71,31.09,29.2,29.67,340421.97,384693.77,805372.62,923626.33,3436018.61,3461952.68,27.39,28.51
2022-09-02,SRTRANSFIN,1329.25,1340.0,1340.0,1306.6,1318.62,3364200,2022-09-29,464317.0,18423.0,171989.0,-9.03,37.04,-0.8,96.0,83.0,82.84,-0.24,1308.6,-44.54999999999996,1311.65,3.050000000000182,-41400,423600,156.0,LongUnwinding,2.0,49.4,2.51,-20.65000000000009,-0.01565700994880892,0.01863172284222908,25.736420341437903,-0.8023648870372144,0.8023648870372144,24.36,29.95,31.12,30.44,324380.73,376335.45,772891.12,905577.6,3429178.74,3458111.46,27.18,28.38
2022-09-05,SRTRANSFIN,1308.6,1320.9,1338.0,1310.05,1324.83,3370800,2022-09-29,597687.0,16530.0,237663.0,38.19,39.76,-0.61,180.0,90.0,82.41,-0.43,1320.8,16.049999999999955,1327.7,6.900000000000091,6600,430200,105.0,LongBuildUp,14.2,19.2,2.14,12.200000000000045,0.009279750170279044,0.018711962692630184,24.381472511340974,0.5003799501578606,0.5003799501578606,23.39,29.33,29.99,30.0,316121.9,370886.7,756205.01,893479.89,3423618.86,3454680.79,28.04,28.69
2022-09-06,SRTRANSFIN,1320.8,1333.8,1391.55,1317.45,1361.62,3558000,2022-09-29,1611743.0,46696.0,647300.0,172.36,40.160000000000004,0.55,215.0,236.0,80.44,-1.97,1384.75,64.75,1392.45,7.7000000000000455,187200,617400,236.0,LongBuildUp,74.7,6.8,5.61,63.950000000000045,0.0472820043072959,0.017961002630339822,24.714760324425946,2.5875225638663126,2.5875225638663126,28.28,31.11,27.78,29.09,347662.68,381746.77,837684.83,921699.9,3436417.06,3458740.13,28.65,28.92
2022-09-07,SRTRANSFIN,1384.75,1376.0,1390.85,1361.0,1370.34,3614400,2022-09-29,692967.0,29803.0,300386.0,-53.59,43.35,-0.43,32.0,34.0,80.21,-0.23,1366.6,38.850000000000136,1373.4,6.800000000000182,56400,673800,142.0,LongBuildUp,49.15,24.95,2.16,-18.15000000000009,-0.013193714566535952,0.018196812374172512,24.87149839236307,-0.7297509668968376,0.7297509668968376,30.26,31.82,27.51,28.93,343160.14,378550.4,823902.18,912713.82,3453367.82,3464855.43,28.14,28.69
