Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength.1,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL,Market Structure,Liquidity,MarketMove,Swing,Trend,Swing%
2012-03-01,BPCL,283512,6553.0,119139,104.08,53.85,48.26,Low,Low,Low,Very High,-0.49,-0.65,-1.0,49.0,65.0,-16.0,High,-3.4,Low Supply,High,High,Medium,650.07,658.85,13.399999999999975,668.65,2.56,9.799999999999956,3.21,,12000.0,-0.0,662.25,663.0,668.85,622.5,661.32,1489000.0,2012-03-29,,LongBuildUp,36.35,10.0,46.35,True,4.96,CandleLowSwipe,Bearish,-0.0051472371609175,-3.3999999999999773,Low Supply,641.0644511628069,613.653805771402,-0.39,0.93,-71.47,1.28,27.41,26.13,2.84,Buy,Buy,29.3599999999999,26.52,22.14,14.12,True,11.33,11.66,False,-3.3999999999999773,12.555009729296463,-42.687033079607694,43.264459026400125,-1.199243770986758e-05,-0.0065141207202209,1.76,1.86,False,,,,Swing 24,Downtrend,255.14096185737998
2012-03-02,BPCL,274950,8354.0,111246,97.96,49.23,49.74,Low,Low,Low,Very High,-0.49,-0.65,-0.97,50.52,67.01,-16.490000000000002,High,4.9,Low Demand,High,Medium,Medium,663.53,663.75,-0.1000000000000227,668.55,-0.75,4.7999999999999545,-0.45,,-43500.0,-0.0,658.85,664.8,668.7,658.15,662.87,1445500.0,2012-03-29,,LongUnwinding,5.6,4.95,10.55,False,0.0,,Bearish,0.0074096815648871,4.899999999999977,Low Demand,642.9633862317777,616.1200318390138,-0.57,3.12,235.48,0.57,26.84,26.27,2.23,Buy,Buy,29.309999999999945,27.08,13.87,13.35,True,8.14,10.7,False,4.899999999999977,12.52434454193596,61.36928825548592,32.91237730428537,1.7821422076741143e-05,0.0073460962719039,2.21,2.06,True,,,,Swing 24,Downtrend,263.2669983416254
2012-03-03,BPCL,109696,2800.0,25702,105.77,57.35,45.78,Low,Low,Low,Very High,-0.52,-0.68,-1.07,48.6,63.55,-14.949999999999996,High,10.95,Low Supply,High,High,Medium,673.55,674.7,12.900000000000093,681.45,0.28,6.75,-0.31,,64500.0,-0.0,663.75,667.9,678.95,667.0,673.11,1510000.0,2012-03-29,,LongBuildUp,7.7,4.25,11.95,False,0.0,NoSwipe,Bullish,0.0163625750772311,10.950000000000044,Low Supply,644.3557372547193,619.715537697457,-2.2,3.28,5.13,-1.31,24.64,25.95,2.18,Sell,Buy,29.799999999999955,27.62,10.78,12.84,False,6.19,9.78,False,10.950000000000044,11.605468182517397,127.07987659856602,39.17714285714285,9.982132438739832e-05,0.0453856702137735,2.57,2.25,True,,,,Swing 24,Downtrend,281.42620232172504
2012-03-05,BPCL,619194,7421.0,393903,141.46,65.0,54.05,Low,Low,Low,Very High,-0.41,-0.6,-0.99,41.41,60.61,-19.200000000000003,Medium,-8.6,Low Demand,High,High,Medium,670.4,666.1,-10.150000000000093,671.3,-0.2199999999999999,5.199999999999932,0.4,,-94000.0,-0.0,674.7,681.0,682.0,663.1,668.76,1416000.0,2012-03-29,,LongUnwinding,3.0,15.9,18.9,True,0.46,CandleOpenHighSwipe,Bearish,-0.0128283382142457,-8.600000000000023,Low Demand,647.5396485994754,622.4155980033514,0.48,4.41,34.45,-0.66,25.12,25.78,1.23,Sell,Buy,29.16000000000008,27.93,6.89,11.94,False,11.05,10.65,True,-8.600000000000023,13.336173911288226,-114.69109563707904,83.4380811211427,-1.3889023472449706e-05,-0.0154549380995929,3.18,2.58,True,,,,Swing 24,Downtrend,267.16417910447785
2012-03-06,BPCL,553613,16302.0,248559,82.22,34.43,58.12,Low,Low,Low,Very High,-0.45,-0.61,-0.82,54.88,74.39,-19.51,Medium,2.65,Low Supply,Medium,Medium,High,669.92,668.75,3.0,674.3,0.0499999999999999,5.5499999999999545,0.41,,130000.0,-0.0,666.1,665.0,680.0,661.0,670.22,1546000.0,2012-03-29,,LongBuildUp,7.75,11.25,19.0,True,0.31,CandleLowSwipe,Bullish,0.003970488791082,2.6499999999999773,Low Supply,650.6344535946013,625.3577522071499,0.16,1.79,-59.41,-0.4,25.28,25.68,0.49,Sell,Buy,28.539999999999964,28.05,7.32,11.56,False,11.15,10.74,True,2.6499999999999773,13.224221165668842,35.04418608902213,33.959820880873515,4.78673730566294e-06,0.0021496863016207,2.72,2.46,True,,,,Swing 24,Downtrend,271.55887230514116
2012-03-07,BPCL,623109,15123.0,308640,90.91,40.0,56.0,Low,Low,Low,Very High,-0.44,-0.6,-0.84,52.38,71.43,-19.050000000000004,Medium,-9.4,Low Demand,Medium,Medium,Medium,658.17,659.35,-9.549999999999956,664.75,-0.01,5.399999999999977,0.19,,-10000.0,-0.0,668.75,662.4,666.0,649.15,655.24,1536000.0,2012-03-29,,LongUnwinding,10.2,6.65,16.85,False,0.0,NoSwipe,Bearish,-0.0141557969565075,-9.399999999999975,Low Demand,653.1386003155823,628.1759124817861,-0.32,2.45,36.87,-0.58,24.96,25.54,-0.86,Sell,Sell,26.980000000000015,27.84,8.76,11.44,False,8.9,10.15,False,-9.399999999999975,13.342476742337483,-125.41928137797206,41.202737552073,-1.508564312182937e-05,-0.008293280524894,2.63,2.46,True,,,,Swing 24,Downtrend,255.9701492537316
2012-03-09,BPCL,722547,25036.0,463751,66.67,12.07,81.9,Low,Low,Low,Very High,-0.39,-0.58,-0.65,60.0,89.23,-29.230000000000004,Medium,4.95,Low Supply,Medium,Low,High,659.73,664.3,6.0499999999999545,670.8,0.16,6.5,0.24,,500.0,-0.0,659.35,653.0,666.1,648.8,662.0,1536500.0,2012-03-29,,LongBuildUp,15.5,1.8,17.3,True,0.02,BothHighLowSwipe,Bullish,0.0074793534174872,4.949999999999932,Low Supply,658.1558145543208,631.3064670629327,1.89,1.67,-31.84,1.05,26.85,25.8,-1.6,Buy,Sell,25.840000000000032,27.44,12.13,11.81,True,5.35,8.96,False,4.949999999999932,13.490537748756056,66.77816185634155,28.86032113756191,6.850765417336079e-06,0.0026672855830141,2.31,2.34,False,,,,Swing 24,Downtrend,264.17910447761204
2012-03-12,BPCL,302716,6463.0,147785,108.33,53.85,50.29,Low,Low,Low,Very High,-0.48,-0.65,-1.0,48.0,65.0,-17.0,High,-1.3,Low Demand,High,High,Medium,663.57,663.0,-1.7999999999999543,669.0,-0.07,6.0,-0.07,,-43000.0,-0.0,664.3,671.0,671.0,656.7,663.07,1493500.0,2012-03-29,,LongUnwinding,6.3,8.0,14.3,True,0.74,CandleOpenHighSwipe,Bearish,-0.0019588644853332,-1.2999999999999543,Low Demand,662.0315364849964,633.6521390922615,1.53,3.28,96.41,2.06,28.38,26.32,-2.3,Buy,Sell,24.56000000000006,26.86,9.22,11.31,False,6.67,8.82,False,-1.2999999999999543,12.620550351227696,-16.406715456595432,46.83831038217546,-4.294454207904288e-06,-0.0025385603367778,2.63,2.48,True,,,,Swing 24,Downtrend,262.02321724709805
2012-03-13,BPCL,301691,7355.0,158764,106.25,52.31,50.77,Low,Low,Low,Very High,-0.48,-0.65,-0.99,48.48,65.66,-17.18,High,4.25,Low Supply,High,High,Medium,668.68,667.25,4.100000000000023,673.1,-0.03,5.850000000000023,-0.22,,-30500.0,-0.0,663.0,663.3,675.8,663.0,669.48,1463000.0,2012-03-29,,ShortCovering,4.25,8.55,12.8,True,0.72,CandleHighSwipe,Bullish,0.0063897980987714,4.25,Low Supply,663.1205516855151,635.5381856393808,-0.8,3.2,-2.44,1.01,27.58,26.57,-2.6,Buy,Sell,23.610000000000014,26.21,6.73,10.66,False,7.61,8.78,False,4.25,12.617158593744296,53.62292402341326,41.01849082256968,1.4087261469516824e-05,0.0072906762778264,2.82,2.59,True,,,,Swing 24,Downtrend,269.0713101160864
2012-03-14,BPCL,541175,15131.0,348491,95.35,37.7,60.46,Low,Low,Low,Very High,-0.43,-0.61,-0.84,51.19,72.62,-21.430000000000007,Medium,14.4,Low Supply,Medium,Medium,High,679.55,681.65,14.949999999999932,688.05,0.06,6.399999999999977,0.61,,50500.0,-0.0,667.25,668.0,689.0,668.0,673.5,1513500.0,2012-03-29,,LongBuildUp,13.65,7.35,21.0,False,0.0,NoSwipe,Bullish,0.0213515413475047,14.399999999999975,Low Supply,664.1289957072433,638.4565144881062,-1.91,1.7,-46.88,-0.72,25.67,26.39,-1.98,Sell,Sell,23.74000000000001,25.72,10.19,10.94,False,7.48,8.58,False,14.399999999999975,13.201497980568057,190.1015709201797,35.765977133038135,2.660876795860854e-05,0.0125637149507752,2.45,2.45,False,,,,Swing 24,Downtrend,292.9519071310118
