Stock,Date,EntryPrice,MaxReturnIn10D,DaysToTarget,Success
ASIANPAINT,2021-03-01,2386.0,3.461860854987423,9.0,True
ASIANPAINT,2021-03-31,2532.0,3.14375987361769,2.0,True
ASIANPAINT,2021-05-26,2950.0,0.9322033898305084,,False
ASIANPAINT,2021-11-03,3179.0,2.5872916011324314,10.0,True
ASIANPAINT,2023-02-02,2705.65,2.2157337423539563,3.0,True
ASIANPAINT,2024-03-06,2825.0,2.3805309734513274,4.0,True
ASIANPAINT,2024-08-07,3080.0,2.323051948051954,8.0,True
ASIANPAINT,2024-08-12,3054.9,3.1637696814953054,5.0,True
ASIANPAINT,2024-11-22,2505.0,0.0,,False
ASIANPAINT,2024-12-19,2297.0,2.0134958641706575,8.0,True
ASTRAL,2023-05-25,1764.95,3.195557947817211,3.0,True
ASTRAL,2023-08-18,1940.9,3.513833788448648,1.0,True
ASTRAL,2023-10-31,1854.55,2.410288210077919,6.0,True
ASTRAL,2024-01-18,1806.95,3.420127839729929,5.0,True
ASTRAL,2024-02-29,2086.5,1.0759645339084505,,False
ASTRAL,2024-06-07,2180.0,2.13073394495412,2.0,True
ASTRAL,2025-02-17,1381.0,1.3468501086169375,,False
ATUL,2020-06-01,4770.0,-1.8144654088050352,,False
ATUL,2024-07-19,6888.15,5.692384747718914,1.0,True
ATUL,2024-07-31,7968.1,0.8565404550645699,,False
ATUL,2025-04-25,6414.5,5.394029152700912,1.0,True
